SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,3936.05,3937.8,3842.75,3852.35,3852.35,3942.65,2025,10483,40728178,
500003,AEGIS LOGIS ,A ,Q,371.05,379.5,360.05,363.8,363.8,378,5331,97006,35553207,
500008,AMAR RAJA BA,A ,Q,626,632.05,622.6,624.1,623.65,626.05,659,8778,5505116,
500009,A.SARABHAI  ,X ,Q,22.89,22.89,22.12,22.26,22.26,22.46,176,84680,1888208,
500010,HDFC        ,A ,Q,2787.95,2795.75,2773,2784.05,2784.05,2776.5,3333,29724,82883348,
500012,ANDHRA PETRO,X ,Q,63.21,64.18,62.7,62.9,62.9,63.62,497,53082,3352532,
500013,ANSAL INFRAS,T ,Q,9.9,9.9,9.51,9.7,9.7,9.69,41,10187,98623,
500014,UTIQUE      ,X ,Q,5.52,5.6,5.3,5.52,5.5,5.25,197,105306,578015,
500016,ARUNAHTEL   ,XT,Q,19.3,21.27,19.3,19.89,19.8,20.26,116,33203,685987,
500020,BOM DYEING  ,B ,Q,83.6,87.5,83.35,86.35,85.85,83.67,1536,191507,16399249,
500023,ASIANHOTNR  ,T ,Q,159.65,159.65,159.65,159.65,159.65,159.3,5,190,30333,
500027,ATUL LTD.   ,A ,Q,6943.55,6967.15,6870,6880.55,6880.55,6944.85,439,1253,8650298,
500028,ATV PROJECTS,XT,Q,8.88,8.88,8.88,8.88,8.88,8.46,34,8430,74858,
500031,BAJAJ ELECT.,A ,Q,1172.45,1186.85,1164.2,1170.25,1168.8,1171.8,346,2024,2375559,
500032,BAJAJHIND   ,A ,Q,13.79,14,13.45,13.75,13.75,13.67,2036,1196371,16332603,
500033,FORCE MOTR  ,B ,Q,1377.55,1418,1367.1,1408.05,1413.2,1369.95,1467,10218,14257303,
500034,BAJFINANCE  ,A ,Q,6714,6750,6686,6710.5,6710.5,6713.05,2916,18591,124946371,
500038,BALRAM.CHINI,A ,Q,393.35,393.35,371.5,384.45,384.45,386.65,4517,167908,63766863,
500039,BANCO PROD. ,B ,Q,272.95,277.5,270,271.55,271.55,270.95,1789,55963,15324179,
500040,CENTURY TEXT,A ,Q,778,811.35,772.9,804.95,804,773.25,1669,24489,19577275,
500041,BANNARI AMAN,B ,Q,2751,2794.9,2689.6,2732.15,2728.9,2778.7,130,700,1919411,
500042,BASF INDIA  ,A ,Q,2469.95,2469.95,2410.95,2422.15,2418.85,2415.3,107,414,1004099,
500043,BATA INDIA  ,A ,Q,1544.95,1549.85,1517.55,1539.7,1540.15,1522.9,907,9023,13862295,
500048,BEML LTD    ,A ,Q,1387.75,1444.4,1366.5,1414,1410.2,1378.1,2500,28175,39817755,
500049,BHARAT ELECT,A ,Q,107.35,108.6,106.95,107.55,107.55,107.25,2836,297629,32072218,
500052,BHANSALI ENG,A ,Q,121.1,124.95,119.3,122.6,122.55,122.25,1927,116462,14279203,
500058,BIHAR SPONGE,XT,Q,9.15,9.2,8.65,8.93,8.99,8.95,60,11892,107541,
500059,BINANI IND. ,B ,Q,23.79,24.4,22.35,22.47,22.47,23.34,113,10988,250508,
500060,BIRLACABLE  ,B ,Q,150.65,153.6,148.5,149.7,151.15,149.9,366,12722,1927436,
500067,BLUE STAR   ,A ,Q,1410.05,1431,1408.45,1427.45,1422.9,1414.05,310,1601,2270333,
500068,DISA INDIA  ,B ,Q,8001.1,8005.05,7953.05,7976,7976,8000,38,178,1423851,
500069,QUESTCAP    ,X ,Q,238,244.5,238,240,240,238,17,1356,325052,
500074,BPL LTD.    ,B ,Q,60.25,61.6,59.21,60.78,60.5,60.09,137,9810,593306,
500078,OAL         ,B ,Q,381.6,383.4,368.95,372,372,383.85,257,2350,880129,
500083,CENTURY EXT ,B ,Q,10.3,10.47,10.17,10.43,10.43,10.09,227,29039,300922,
500084,CESC LTD.   ,A ,Q,70.28,71.1,70.28,70.57,70.61,70.27,1701,303297,21445353,
500085,CHAMBAL FERT,A ,Q,289,294.6,288,291.95,292.15,289.9,683,31676,9224541,
500086,EXIDE IND.  ,A ,Q,188.65,191.15,187.35,190.8,190.8,189.95,1559,61555,11654220,
500087,CIPLA LTD.  ,A ,Q,936.75,937.4,897.7,922.8,922.8,934.9,6016,90841,82864230,
500089,DIC INDIA   ,B ,Q,389.2,391.2,380.75,387.3,387.3,390.35,42,228,88293,
500092,CRISIL LTD  ,A ,Q,3540.1,3622.9,3540.1,3586.4,3567.05,3591.15,501,1863,6692072,
500093,CGPOWER     ,A ,Q,332.1,341.5,329,332.1,332.1,332.45,4947,171598,57875305,
500096,DABUR (I)   ,A ,Q,517,533.9,513.9,533.15,533.6,518.3,2944,66567,35069629,
500097,DALMIASUG   ,A ,Q,364.1,368,361.4,364.1,361.75,363.85,459,8489,3084017,
500101,ARVIND Ltd  ,A ,Q,106.1,109.9,106.1,108.4,109,107,778,54360,5902591,
500102,BALARPUR IND,Z ,Q,0.65,0.69,0.65,0.67,0.67,0.68,189,754991,503707,
500103,BHEL        ,A ,Q,81,81.3,80.15,80.45,80.45,81.05,4098,790165,63722896,
500104,HIND.PETRO  ,A ,Q,262.25,267.4,258.3,259.55,258.55,260.85,5473,256435,67142553,
